2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
RYI,RYI,RNGR,RNGR,RNGR,RNGR,PG,PG
SAIA,SAIA,RYN,RYN,RYN,RYN,PODD,PODD
SCHL,SCHL,SLB,SLB,SLB,SLB,RSG,RSG
SHEL,SHEL,SPNS,SPNS,SPNS,SPNS,RSI,RSI
SHOO,SHOO,STRA,STRA,STRA,STRA,SLB,SLB
SLB,SLB,SYY,SYY,SYY,SYY,SPNS,SPNS
STRL,STRL,TIMB,TIMB,TIMB,TIMB,SPXC,SPXC
TBI,TBI,TNK,TNK,TNK,TNK,SSNC,SSNC
TECH,TECH,TRAK,TRAK,TRAK,TRAK,TAP,TAP
TFII,TFII,TS,TS,TS,TS,TGNA,TGNA
TGNA,TGNA,TT,TT,TT,TT,TIMB,TIMB
TH,TH,TTI,TTI,TTI,TTI,TRAK,TRAK
